request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Current balance 100845250.0. Safe to pay 15656000.0. Recommended full_payment.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Current balance 93141.8. Safe to pay 6670.0. Recommended full_payment.
request_28,329.52,affordable_later,wait,2024-07-14:1302.4,2024-07-14,none,Current balance 1789.4. Safe to pay 329.52. Recommended wait.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Current balance 113540.1. Safe to pay 51524.0. Recommended full_payment.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Current balance 3752.72. Safe to pay 775.2. Recommended installments.
request_31,0.0,not_affordable,not_recommended,none,,none,Current balance 30429260.0. Safe to pay 0.0. Recommended not_recommended.
request_32,8057.14,not_affordable,not_recommended,none,,none,Current balance 69005.8. Safe to pay 8057.14. Recommended not_recommended.
request_33,0.0,not_affordable,not_recommended,none,,none,Current balance 167280.0. Safe to pay 0.0. Recommended not_recommended.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Current balance 559752.5. Safe to pay 129400.0. Recommended full_payment.
request_35,24106.07,not_affordable,not_recommended,none,,none,Current balance 231530.0. Safe to pay 24106.07. Recommended not_recommended.
request_36,728.81,not_affordable,not_recommended,none,,none,Current balance 3846.6. Safe to pay 728.81. Recommended not_recommended.
request_37,3866900.26,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,Current balance 29125000.0. Safe to pay 3866900.26. Recommended wait.
request_38,167.8,not_affordable,not_recommended,none,,none,Current balance 779.4. Safe to pay 167.8. Recommended not_recommended.
request_39,101894.19,affordable_later,wait,2026-05-14:208600,2026-05-14,none,Current balance 416505.0. Safe to pay 101894.19. Recommended wait.
request_40,0.0,not_affordable,not_recommended,none,,none,Current balance 2394.0. Safe to pay 0.0. Recommended not_recommended.
request_41,12292299.94,affordable_later,wait,2025-12-14:38760000,2025-12-14,none,Current balance 50175850.0. Safe to pay 12292299.94. Recommended wait.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Current balance 261765.0. Safe to pay 52100.0. Recommended full_payment.
request_43,8802383.33,affordable_later,wait,2024-09-14:43339000,2024-09-14,none,Current balance 36640750.0. Safe to pay 8802383.33. Recommended wait.
request_44,0.0,not_affordable,not_recommended,none,,none,Current balance 162290.0. Safe to pay 0.0. Recommended not_recommended.
request_45,2523326.12,not_affordable,not_recommended,none,,none,Current balance 19982900.0. Safe to pay 2523326.12. Recommended not_recommended.
